Copernican ideology.,কোপারনিকান মূলনীতি
Addition:,যোগ:
"Multiplicative Identity (“one”), 1+0i;",গুণাত্মক অভেদ (এক) 1 + 0i;
This two dimensional cartesian coordinate system is known as plane or complex plane or under the name of Jane-Robert Organyod as Orgyanod plane.,এই দ্বিমাত্রিক কার্টেসিয়ান কো-অর্ডিনেট সিস্টেম কে বলা হয় জটিল সমতল বা কম্পলেক্স প্লেন অথবা জেন-রবার্ট আরগ্যান্ড এর নামানুসারে আরগ্যান্ড সমতল (see and ) ।
"The opposite of an complex number, which or by which it is expressed.",একটি জটিল সংখ্যা এর অনুবন্ধী জটিল হচ্ছে  যেটাকে বা দ্বারা প্রকাশ করা হয়।
"The product of the two points A and B X = AB is such a point like a triangle 0,1,A and triangle 0,B,X are alike to each other.",দুইটি বিন্দু A এবং B এর গুনফল X = AB হচ্ছে এমন একটা বিন্দু যেন ত্রিভুজ 0 1 A এবং ত্রিভুজ 0 B Xপরস্পর সদৃশ।
Assumed,ধরা হয়।
Where for negative number of y pie is also negative.,যেখানে y এর ঋণাত্মক মানের জন্য φ ও ঋণাত্মক।
This operations of the polar form is much easier than that of the Cartesian form.,কার্টেসিয়ান ফর্মের চেয়ে পোলার ফর্মে এই অপারেশন সমূহ অনেক বেশী সহজ।
If C is a complex number and n is a positive whole number then if a complex number z satisfies the equation zn = c then z is called as the nth root of c.,যদি c একটি জটিল সংখ্যা হয় এবং n যদি একটা ধনাত্মক পূর্ণ সংখ্যা হয় তখন কোন জটিল সংখ্যা z যদি zn = c এই সমীকরণ সিদ্ধ করে তাহলে z কে বলা হয় c এর n-তম মূল।
Historically the theory of complex number developed much later than that of real numbers.,ঐতিহাসিক ভাবে দেখলে জটিল সংখ্যার থিওরী ডেভেলপ করেছে বাস্তব সংখ্যার বেশ পরে।
"As an example, she is shown the number of balls in a bag or the number of bananas in a bunch of bananas.",তার সামনে উদাহরণ হিসেবে দেখানো হয় একটি ব্যাগে বলের সংখ্যার বা একছড়া কলায় কলার সংখ্যা।
chinese language or bai hawa in the starting of twenty century is known as monderen language's written virtual message,কিছু বহুপদীর মূল এর সাহায্যে উদারণ দেওয়া হলেও সেগুলো সন্তোষ জনক মনে হয়না।
But only from this observation they are not able to solve real problem.,শুধু এই ‘পর্যবেক্ষন’ থেকে যে তারা বাস্তব সমস্যার সমাধানে কার্যকরী এবং স্ববিরধী নয়।
"Hence  complex numbers are complex, imaginary, - without going into all these literally, the real picture of complex numbers that can be arrived at are:",তাই জটিল সংখ্যা কাল্পনিক অংশ এসব নাম কে শাব্দিক অর্থে না নিয়ে জটিল সংখ্যা সম্পর্কে যে সঠিক চিত্রটা আমরা পেতে পারি তা হল।
so this equation is not pure.,তাই সমীকরণটি অশুদ্ধ।
In Control theory physical systems are frequently taken from time domain to frequency domain through Laplace transform.,নিয়ন্ত্রণ তত্ত্বে প্রায়ই ভৌত ব্যবস্থাকে লাপ্লাস রূপান্তরের মাধ্যমে সময় ডোমেইন থেকে ফ্রিকোএন্সি ডোমেন-এ নিয়ে যাওয়া হয়।
"In Signal analysis and in some other cases, complex number is used to represent periodically changing signal.",সিগন্যাল বিশ্লেষণ এবং অন্য আরো কিছু ক্ষেত্রে জটিলসংখ্যাকে পর্যায়বৃত্ত ভাবে পরিবর্তনশীল সিগন্যাল এর গাণিতিক প্রকাশে ব্যবহার করা হয়।
"Resistance, Capacitor and Inductor can be converted to a frequency dependent unified quantity with the help of complex number.",রোধ ধারক এবং আবেশক কে জটিল সংখ্যার সাহায্যে কম্পাঙ্কনির্ভর একটা একীভূত রাশিতে প্রকাশ করা হয়।
Field of complex number is not separable from the field of Quantum mathematics.,জটিল সংখ্যার ফিল্ড কোয়ান্টাম বলবিজ্ঞানের গাণিতিক সূত্রায়নের সাথে ওতপ্রোত ভাবে জড়িত।
Fractal,ফ্র্যাক্টাল
Mathematical expansion,Mathematical expansion (ম্যাথাম্যাটিক্‌ল্‌ ইক্‌স্‌প্যান্‌শ্‌ন্‌) - গাণিতিক সম্প্রসারণ
multiplicative inverse,Multiplicative inverse (মাল্‌টিপ্লিকাটিভ্‌ ইন্‌ভার্স্‌) - গুণাত্মক বিপরীত
Islamabad is the capital of Pakistan.,ইসলামাবাদ পাকিস্তানের রাজধানী।
This name came from the name of five state of this country which are in West side of the country.,নামটি আসে পাকিস্তানের তৎকালীন পশ্চিম অংশের পাঁচটি রাজ্যের নাম থেকে:
Geography,ভূগোল
Classification: sex.,বিষয়শ্রেণী:যৌনতা
"Among them there are Wickipedia, Wicksnary, Wickiukit, Wickiboi (with wickijunior), Wickisource, wickimedia commons, wickiprojati, wickinews, wickiuniversity, wickimedia incubator and one of the main top ten most visited projects in the world is the English wickipedia.",এর মধ্যে রয়েছে উইকিপিডিয়া উইকশনারী উইকিউক্তি উইকিবই (উইকিজুনিয়র সহ) উইকিসোর্স উইকিমিডিয়া কমন্স উইকিপ্রজাতি উইকিসংবাদ উইকিবিশ্ববিদ্যালয় উইকিমিডিয়া ইনকিউবেটর এবং . প্রকল্পগুলির মধ্যে অন্যতম প্রধান ইংরেজি উইকিপিডিয়া বিস্বব্যাপি সর্বাধিক ভিজিট করা প্রথম ১০টি সাইটের একটি ।
Finance management,অর্থ ব্যবস্থাপনা
Linux is very popular as a open source operating system and it the product that carries the flag of open source world.,ওপেন-সোর্স অপারেটিং সিস্টেম হিসেবে লিনাক্স বেশ জনপ্রিয় এবং এটিই হল ওপেন-সোর্স জগতের পতাকাবাহী পণ্য।
Open source org website.,ওপেন-সোর্স অরগ ওয়েবসাইট
Mainly Japan and Jarman stared this war.,মূলত জার্মানি এবং জাপান দুই অক্ষশক্তিই যুক্তরাষ্ট্রে আক্রমণ করার মাধ্যমে একে যুদ্ধে ডেকে আনে।
Atomic bomb blast in Hiroshima and Nagasaki.,হিরোশিমা ও নাগাসাকিতে আনবিক বোমা বিস্ফোরণ।
In this way the World War II introduced a new play on the world stage.,এভাবেই দ্বিতীয় বিশ্বযুদ্ধ বিশ্বমঞ্চে অভিনব এক নাটকের অবতারণা করে।
Just in this context Hitler and his Nazi party had an idea that through a national movement,এরই প্রেক্ষাপটে হিটলার এবং তার নাজি বাহিনীর ধারণা ছিল যে একটি জাতীয় বিপ্লবের মাধ্যমে
This was the first defeat.,এটি পশ্চিমের বিশ্বাসভঙ্গতা হিসেবে পরিচিত ।
But his force was defeated at every front.,কিন্ত প্রতিটি ফ্রন্টে তার বাহিনী প্রতিহত হয় ।
Norway and Denmark,নরওয়ে ও ডেনমার্ক
"Though Norway was fighting, Denmark surrendered without any resistance.",ডেনমার্ক বিনাবাধায় আত্মসমর্পণ করলেও নরওয়ে লড়াই করতে লাগলো ।
Or became immortal through inside the Belgium,অথবা বেলজিয়ামের ভিতর দিয়ে আমুর হয়ে।
French government moved to Tur first and to Bord afterwards.,ফরাসি সরকার প্রথমে তুর ও পরে বোর্দোতে সরে গেল ।
When there was a difference of opinion between Hungary and Romania then Germany solved it.,হাঙ্গেরি ও রুমানিয়ার মতবিরোধ ঘটায় জার্মানী মধ্যস্থতা করে।
Prince Paul of Yugoslavia joined with the Axis Powers on 27th March.,যুগোস্লাভিয়ার যুবরাজ পল অক্ষে যোগ দিলেন ২৭শে মার্চ।
Category: World war,বিষয়শ্রেণী:বিশ্বযুদ্ধ
But the scientists have no unanimity regarding what was there prior to this state.,কিন্তু এই অবস্থার আগে কি ছিল তা নিয়ে পদার্থবিজ্ঞানীদের মধ্যে কোন ঐক্য নেই।
but the majority is all about good paople and they be with them,মহাকাশ পর্যবেক্ষকরা দেখতে পান যে অধিকাংশ কুণ্ডলাকার নীহারিকা পৃথিবী থেকে ক্রমশ দূরে সরে যাচ্ছে।
"Accepting this principle, Hubble prooved that the universe is expanding",এই নীতিকে সত্য মেনেই হাবল প্রমাণ করেছিলেন যে মহাবিশ্ব সম্প্রসারিত হচ্ছে।
"TO SPECIALLY STATE, IN THE YEAR 1950, IN THE PROGRAMMES OF """"MATERIAL CHARECTERISTICS"""", FIVE IMPORTANT OF THEM, IN ORDER TO EXPLAIN THE  """"LAYMETRER THEORY"""" HE USED THE SAME NAME.",বিশেষত ১৯৫০ সালে বস্তুর ধর্মের উপর প্রদত্ত পাঁচটি গুরুত্বপূর্ণ বক্তৃতায় ল্যমেত্র্‌র তত্ত্বকে বোঝানোর জন্য তিনি এই নাম ব্যবহার করেন।
The present progress of astronomy depends lot on correlation of principal laws of Big Bang and real observation,মহা বিস্ফোরণের মূল তত্ত্বের সাথে বাস্তব পর্যবেক্ষণের সমন্বয় সাধনের উপরই বর্তমান বিশ্বতত্ত্বের অগ্রগতি অনেকাংশে নির্ভর করছে।
These three measurements have been done independently and all three have strongly supported the so-called Lambda-CDM model.,এই তিনটি পরিমাপ স্বাধীনভাবে করা হয়েছে এবং তিনটি পরিমাপই তথাকথিত ল্যাম্ব্‌ডা-সিডিএম নকশাকে গভীরভাবে সমর্থন করেছে।
All the constituents of this liquid are moving in respect of one another - all the particles of elements also remain in moving state in this liquid.,এই তরলের মধ্যস্থিত সকল উপাদান একে অপরের সাপেক্ষে চলমান -- এ তরলের মধ্যকার সকল মৌলিক কণিকাও এভাবে তরলের মধ্যে চলমান থাকে।
"Quark and Gluon unitedly form Baryons, such as, Proton and Neutron.",কোয়ার্ক এবং গ্লুওন একত্রিত হয়ে বেরিয়ন যেমন প্রোটন এবং নিউট্রন তৈরি করে।
"The process of cooling of the universe continued; at one point of time the relative speed that existed between the particles of matters as a result of this procedure, decreased",মহাবিশ্বের শীতলায়ন প্রক্রিয়া অব্যাহত থাকে; এক সময় এই প্রক্রিয়ার ফলস্বরুপ পদার্থের কণাসমূহের মধ্যে যে আপেক্ষিক গতিবেগ ছিল তার পরিমাণ হ্রাস পায়।
but this process is not so simple,তবে এই প্রক্রিয়াটি অত সহজ নয়।
"Therefore, because of this energy, when the distance is very large, the velocity of that body increases much more than normal.",অর্থাৎ এই শক্তির কারণে দূরত্ব যখন অনেক বেশী হয় তখন উক্ত বস্তুর বেগ স্বাভাবিকের তুলনায় অনেক বেড়ে যায়।
"According to the theory of gravity by Einstein, an anti-gravitational point has been imagined at the most initial point of the explosion.",বিস্ফোরণের একেবারে প্রথম বিন্দুতে আইনস্টাইনের মহাকর্ষ তত্ত্বমতে একটি মহাকর্ষীয় ব্যতিক্রমী বিন্দুর কল্পনা করা হয়েছে।
In this respect the particular graph is the Comoving coordinate system.,এক্ষেত্র নির্দিষ্টভাবে ব্যবহৃত ছকটির হচ্ছে কমোভিং স্থানাংক ব্যবস্থা।
For example: the Big Bang was occurred at a definite conformal time of antiquity.,উদাহরণস্বরুপ; মহা বিস্ফোরণ অতীতের একটি নির্দিষ্ট কনফরমাল সময়ে সংঘটিত হয়েছিল।
"That means, it also has a future horizon.",অর্থাৎ এর একটি ভবিষ্যৎ দিগন্ত -ও রয়েছে।
"The other explanation is: as religiously balanced place-period,the universe is expanding all over at one rate.",অন্য ব্যাখ্যাটি হল: মহাবিশ্ব স্থান-কালের একটি সুষম ধর্ম হিসেবে সকল স্থানে একটি হারে সম্প্রসারিত হচ্ছে।
"Before the formation of atom, radiation was emitted and absorbed in phases permanently which is called Compton dispersion.",পরমাণু গঠিত হওয়ার আগে বিকিরণ স্থিতিশী়লভাবে পালাক্রমে নিঃসরিত এবং পুনরায় শোষিত হচ্ছিলো যাকে কম্পটন বিক্ষেপন বলা হয়।
Arno Penzias and Robert Wilson accidentally discovered the background radiation in 1964.,১৯৬৪ সালে আরনো পেনজিয়াস এবং রবার্ট উড্রো উইলসন অনেকটা আকস্মিকভাবেই পটভূমি বিকিরণ আবিষ্কার করেন।
"However, its data supported the basic model of cosmic inflation.",তবে এর তথ্যগুলো মূল মহাজাগতিক স্ফীতিশীলতা তত্ত্বের পক্ষেই থাকে।
The set number is the ratio of Barrian and Futon.,সেই সংখ্যাটি হল বেরিয়ন এবং ফোটনের অনুপাত।
"It means that the time of the creation of the universe is becoming the driving factor, the key of which is the evolution.",অর্থাৎ সৃষ্টির সময়টিই মূখ্য হয়ে দাড়াচ্ছে বিবর্তন যার চাবিকাঠি।
The Big Bang theory has given birth to many problems that we are unable to do that much experiment on earth to give any proper answer to it.,মহা বিস্ফোরণ তত্ত্ব এমন অনেকগুলো প্রশ্নের জন্ম দিয়েছে যার কোন সঠিক উত্তর দেয়ার মতো পর্যবেক্ষণ ব্যবস্থা আমাদের পৃথিবীতে নেই।
"It is learnt that if the distance between two points in the universe located far apart is more than the product of speed of light and age of the universe, no causal connection between them can ever exist.",এ থেকে বোঝা যায় অনেক দূরত্বে অবস্থিত মহাবিশ্বের দুটি স্থান যাদের মধ্যবর্তী দূরত্ব আলোর দ্রুতির এবং মহাবিশ্বের বয়সের গুণফলের চেয়েও বেশী তাদের মধ্যে কারণিক (causal) সংযোগ ঘটা কখনই সম্ভব নয়।
Baryon asymmetry,বেরিয়ন অপ্রতিসাম্য
"According to population health experts, child mortality rates have fallen sharply since the 1990s.",এ থেকে যদি তাদের বর্ণালীর মধ্যে কোন পার্থক্য পাওয়া যায় তবে তা সিপিটি প্রতিসাম্য লংঘন করবে এবং তথাপি লোরেন্‌ৎস লংঘন ঘটবে।
"A pie chart of proportional composition of different energy-density components of the Universe, according to Lambda CDM design",মহাবিশ্বের বিভিন্ন উপাদানের পরিমাণের আনুপাতিক শক্তি-ঘনত্বের একটি পাই ছক; ল্যাম্ব্‌ডা-সিডিএম নকশা অনুসারে।
"Besides, the presence of this object has been accepted in the fluctuation of the momentum of the galaxy clusters, in the large distribution of the universe, in the study of gravitational lensing and in research with the x-rays as derived from the galaxy clusters.",এছাড়াও ছায়াপথ স্তবক সমূহের বেগের উঠানাম বৃহৎ-পরিসরে মহাবিশ্বের বন্টন মহাকর্ষীয় লেন্সিং অধ্যয়ন এবং ছায়াপথ স্তবক থেকে প্রাপ্ত রঞ্জন-রশ্মি নিয়ে গবেষণা করতে যেয়ে এই বস্তুর উপস্তিতি স্বীকার করে নিতে হয়েছে।
And for this reason about 71% of the strength density cannot be defined.,এ কারণে এর শতকরা প্রায় ৭০ভাগ শক্তি ঘনত্বের কোন ব্যাখ্যা পাওয়া যায় না।
"Prior to discovery of invisible energy, cosmologists believed in two concepts regarding the fate of the universe.",অদৃশ্য শক্তি আবিষ্কারের পূর্বে বিশ্বতত্ত্ববিদগণ মহাবিশ্বের পরিণতি সম্পর্কে দুইটি ধারণা পোষণ করতেন।
"With the modern research on expansion along with acceleration, we are able to know that the present visible universe will go outside our incident horizon and we can not even see the presently visible areas.",মহাবিশ্বের ত্বরণ সহকারে সম্প্রসারণের উপর আধুনিক পর্যবেক্ষণের ফলে আমরা জানতে পারছি যে বর্তমান দৃশ্যমান মহাবিশ্ব আমাদের ঘটনা দিগন্তের বাইরে চলে যাবে এবং আমরা আর বর্তমান দৃশ্যমান স্থানগুলোকেও দেখতে পারবো না।
"in globalworld  though the theory of  great explosion is inevitable, yet some modification might be necessary.",বিশ্বতত্ত্বে মহা বিস্ফোরণ তত্ত্বকে অবশ্যম্ভাবী ধরলেও ভবিষ্যতে এর সংস্কারের প্রয়োজন হতে পারে।
The last one is a transformation of the ekpyrotic model where the collisions occur in repetitive manner.,শেষোক্তটি একপাইরোটিক নকশারই একটি ভিন্ন রুপ যে ক্ষেত্রে সংঘর্ষটি পর্যায়ক্রমিকভাবে ঘটে;
This view points by some environmental philosopher named is as the Puran of the Modern Makings.,এই দৃষ্টিভঙ্গিগুলোকে অনেক প্রকৃতিবাদী দার্শনিক আধুনিক সৃষ্টি পুরাণ হিসেবে আখ্যায়িত করেছেন।
Some people are also saying that this theory can go with the description of Kabbalah.,কেউ কেউ বলেছেন কাব্‌বালাহ-এর বর্ণনার সাথেও এটি খাপ খায়।
In case of Buddish Religion there is no starting point.,বৌদ্ধ ধর্মে সৃষ্টির যে ব্যাখ্যা রয়েছে তাতে কোন সূচনা বিন্দু নেই।
"While examining the universality of the physical properties it is seen that the exception of delicate framework’s constancy over the age of the universe, the amount of that is around 10-5.",ভৌত নীতিসমূহের সর্বজনীনতা পরীক্ষা করে দেখা গেছে মহাবিশ্বের বয়সের উপর সূক্ষ্ম কাঠামো ধ্রুবকের সবচেয়ে বেশী যে ব্যাত্যয়টি দেখা যায় তার পরিমাণ ১০-৫ -এর মত।
to get some idea just think that it is good or bad for you because if you think these all you are one,এই বিশ্লেষণ থেকে বোঝা গেল একটি লাল অপসারণ যা কোন ধরণের বিকিরণের জন্য একটি ডপলার অপসারণকে নির্দেশ করে তাকে পরিমাপ করা সম্ভব।
"Otherwise either it would have die an warm death or would have a huge contraction, and in all this the present earth wouldn't have exist.",আর তা নাহলে হয় এর তাপীয় মৃত্যু ঘটত অথবা মহা সংকোচন হত এ সকল ক্ষেত্র বর্তমানে মহাবিশ্ব আর টিকে থাকত না।
Normal discussion with the Big Bang,মহা বিস্ফোরণের সাধারণ আলোচনা
These operations are the general form of the operations deal with the real numbers.,এই জটিল সংখ্যার অপারেশনগুলি বাস্তব সংখ্যার অপারেশনগুলিরই সম্প্রসারিত রূপ।
He elevated the theory of complex number into the theory of quaternions.,তিনি জটিল সংখ্যার তত্ত্বকে চতুষ্টির তত্ত্বে উন্নীত করেন।
The whole set of the complex numbers is represented by the symbol C.,জটিল সংখ্যার সার্বিক সেটকে C বা প্রতীক দিয়ে প্রকাশ করা হয়।
Equality,সমতা
"In this way if we move to the positive and negative sides along the X-axis we could find each number of R, that is each of the real numbers.",এভাবে জটিল সমতলের x-অক্ষ বরাবর ধনাত্বক এবং ঋণাত্বক দিকে যেতে থাকলে আমরা R এর প্রতিটি সংখ্যা অর্থাৎ প্রত্যেকটা বাস্তব সংখ্যাকেই খুজে পাব।
By,দ্বারা।
"i.e. this (0,1) is only the imaginary unit which from now onwards we will express by that.",অর্থাৎ এই (01) ই হল সেই কাল্পনিক একক যাকে আমরা এখন থেকে দ্বারা প্রকাশ করব।
Subtraction:,বিয়োগ:
"Reverse Positive, e.g; - Reverse Positive of a+bi is -a -bi;",যোগাত্মক বিপরীত যেমন- a + bi এর যোগাত্মক বিপরীত −a − bi;
"That's why the Complex number z is thought as a point in the cartesian coordinate, so the x of cartesian coordinate = Re (z)is x axis and in the same way y=im(z) is y axis.",একটা জটিল সংখ্যা z কে তাই কার্টেসিয়ান কো-অর্ডিনেটে একটা বিন্দু হিসেবে ভাবা যায়. কার্টেসিয়ান কো-অর্ডিনেটে জটিল সংখ্যাটির x = Re(z) হচ্ছে x অক্ষ এবং একই ভাবে y = Im(z) হচ্ছে y অক্ষ।
From diagram we see that with respect to x axis the reflection of z so and both are real numbers.,চিত্র হতে আমরা দেখি হচ্ছে x অক্ষের সাপেক্ষে z রিফ্লেকশন বা প্রতিবিম্ব তাই এবং উভয়ই বাস্তব সংখ্যা।
"The bracket of a point A is complex X = A* is such a point like the reflection of triangle 0,1,A and triangle 0,1,X of each other on the x axis.",একটি বিন্দু A এর অনুবন্ধী জটিল X = A* হচ্ছে এমন একটা বিন্দু যেন ত্রিভুজ 0 1 A এবং ত্রিভুজ 0 1 X x- অক্ষের সাপেক্ষে পরস্পরের প্রতিবিম্ব।
If r > 0 then in the argument in φ module is 2n; a unique one.,যদি r  0 হয় তখন আর্গুমেন্ট φ মডুলো 2π; ইউনিক হয়।
"If only positive numbers in the range [0, 2 pie) is required.",যদি শুধু মাত্র [0 2π) রেঞ্জের ধনাত্মক সংখ্যা প্রয়োজন হয়।
In trigonometry by useing different formula it can be shown that:,ত্রিকোণমিতির সূত্র সমূহ ব্যবহার করে দেখানো যায় যেঃ
If C is a non-zero then it will have n different numbers of nth roots.,যদি c ননজিরো বা অশুন্য হয় তাহলে তার ঠিক n টি ভিন্ন ভিন্ন n-তম মূল থাকবে।
We have already seen that solution of equations of this nature gave birth to complex numbers.,আমরা আগেই দেখেছি এই ধরণের সমীকরনের সমাধান করতে গিয়ে এই জটিল বা কাল্পনিক সংখ্যার উৎপত্তি।
"After that when she learns arithmetic, she gets introduced with fraction.",এরপর যখন সে পাটীগণিত শেখে তখন পরিচিত হয় ভগ্নাংশের সাথে।
it has been used befor twnety century from thousands of years bu educated people,উপরন্তু সংখ্যাটির নাম ‘জটিল সংখ্যা’ যার আবার একটা ‘কাল্পনিক’ অথবা ‘অবাস্তব’ অংশ আছে।
Generally we use algebra to solve the real number problem in the real world.,আমাদের পরিচিত বাস্তব সংখ্যা গুলিকে যেমন আমরা ব্যবহার করি বীজগণিত/পাটীগণিত এর সাহায্যে আমাদের বাস্তব জগৎ এর সমস্যা সমাধান এর জন্য।
"Complex numbers are also one type of numbers, which are similar to any other numbers, only the rules for calculations are little different.",জটিল সংখ্যাও আরেক ধরণের সংখ্যা যেটা আর সব সংখ্যার মতই শুধু তাদের হিসাবের নিয়ম একটু আলাদা।
To solve this we use Gauss theory.,এই ভুল থেকে বাঁচার জন্য গস কর্ত্ৃক প্রস্তাবিত পন্থা হচ্ছে।
Thereafter the poles and zeroes of the system are analyzed at complexd plane.,এর পর সেই ব্যবস্থার পোল এবং জিরো কে জটিল সমতলে বিশ্লেষণ করা হয়।
"Any real function represented by Sine and Cosine, in representation of which complex function is used, and there, real part of complex function represents the physical measurements of that system.",সাইন এবং কোসাইন দ্বারা প্রকাশিত কোন বাস্তব ফাংশন যার প্রকাশে জটিল ফাংশন ব্যবহৃত হয় এবং সেখানে জটিল ফাংশনের বাস্তব অংশ সেই সিস্টেমের ভৌত পরিমাপ সমূহ প্রকাশ করে।
"which is called Impedence ( as i represents alternating current , so Electrical Engineers and Physics scientists often represent the imaginary i as j)",যাকে আমরা বলি ইম্পিডেন্স. (যেহেতু i দ্বারা পরিবর্তি প্রবাহ প্রকাশ করে সেহেতু তড়িৎ প্রকৌশলি এবং পদার্থ বিজ্ঞানীগন অনেক সময় কাল্পনিক একক i কে j লিখে প্রকাশ করে থাকে)।
Where complex number is use to form the structure of this mathematical organization.,যেখানে সাধারণত জটিল সংখ্যা ভিত্তিক হিলবার্ট স্পেস কে অন্তর্নীহিত গাণিতিক সংগঠন হিসাবে ব্যবহার করা হয়।
Some fractals are plotted on the complex plain.,কিছু কিছু ফ্র্যাক্টাল জটিল সমতলে প্লট করা হয়।
Binary operation,Binary operation (বাইনারি অপারেইশ্‌ন্‌) - দ্বিমিক প্রক্রিয়া
field,Field (ফীল্‌ড্‌) - ফিল্ড
Karachi is the largest city of the country.,করাচি দেশটির বৃহত্তম শহর।
P-Punjab,প - পাঞ্জাব
Economics,অর্থনীতি
"The co-founder of Wickipedia, Jimmy Wales who directed wckimedia thorough the organization called Bomis, declared the opening of Wickimedia on July 20, 2003.",জুলাই ২০ ২০০৩ সালে উইকিপিডিয়ার সহপ্রতিষ্ঠাতা Jimmy Wales আনুষ্ঠানিকভাবে উইকিমিডিয়া প্রতিষ্ঠার ঘোষনা দেন যিনি Bomis নামের প্রতিষ্ঠানটির তত্ত্বাবধায়নে উইকিপিডিয়া পরিচালনা করছিলেন।
Local chapters,স্থানীয় চ্যাপ্টার
"With linux some other open source softwares are given such as OppenOffice.org office suits, Firefox web browser, genome and KDE desktop, etc.",এই লিনাক্সের সাথে প্রতিদিনের ব্যবহার্য আরো অনেক ওপেন-সোর্স সফটওয়্যার দেওয়া হয় যেমন - OpenOffice.org অফিস স্যুট ফায়ারফক্স ওয়েব ব্রাউজার গনোম ও কে.ডি.ই. ডেস্কটপ ইত্যাদি।
Till now second World war was the largest and most destructive war which was started in 1939 and finished in 1945.,দ্বিতীয় বিশ্বযুদ্ধ এযাবত্কাল পর্যন্ত সংঘটিত সর্ববৃহৎ এবং সবচেয়ে ভয়াবহ যুদ্ধ যা ১৯৩৯ সাল থেকে ১৯৪৫ এই চার বছর ধরে চলে।
"In another side China was the old enemy of Japan,from the middle of year 1930 these two country was fighting second China-Japan war.",অপরদিকে চীনের সাথে জাপানের ছিল পুরাতন শত্রুতা; ১৯৩০ সালের মাঝামাঝি সময় থেকেই এই দুই দেশের মধ্যে দ্বিতীয় চীন-জাপান যুদ্ধ চলছিল।
"Firebombing in Dresden and Pforzheim of Germany, different cities of Japan including Tokyo and in some cities of Britain including Coventry and London.",জার্মানির ড্রেসডেন এবং ফর্ত্‌স্‌হাইম (Pforzheim) টোকিওসহ জাপানের অন্যান্য শহর এবং কোভেন্ট্রি ও লন্ডন সহ বৃটেনের কিছু শহরে অগ্নিবিস্ফোরণ (Firebombing)।
Reason,কারণ
Inception of war,যুদ্ধ শুরু
On 17th September Soviet Army also joined in this attack.,১৭ই সেপ্টেম্বর গোপন সমঝোতা অনুসারে সোভিয়েত বাহিনীও আক্রমণে যোগ দিল ।
Soviet Union aws excluded from the united Nations on 14th December.,১৪ই ডিসেম্বর রাষ্ট্রপুঞ্জ থেকে সোভিয়েত ইউনিয়নকে বহিষ্কার করা হলো ।
Norway got involved in the World War due to its geographical location.,নরওয়ে বিশ্বযুদ্ধে জড়িয়ে পড়ে তার ভৌগলিক অবস্হানের জন্য ।
Allied troops began to land at Norway on April 14.,১৪ই এপ্রিল মিত্রবাহিনী নামলো নরওয়েতে ।
They thought that Germany soldier will not able to reach through inside the Arden jungle.,তারা ভেবেছিল জার্মানীর প্যানজার বাহিনী আরদেনের জঙ্গল ভেদ করে আসতে পারবে না।
"On the 14th June, Paris fell.",১৪ই জুন প্যারিসের পতন ঘটল ।
on the movement started by people of rumania the king 2nd quarel transfered his throne to his son michael and the army commander anantnesku called german forces,রুমানিয়ার জনগণ এতে আন্দোলন শুরু করায় রাজা ২য় ক্যারল ছেলে মাইকেলের কাছে মুকুট হস্তান্তর করলেন ও সেনাপ্রধাণ আন্তনেস্কু জার্মান সেনা আহ্বান করলেন।
Two days later the internal revolts broke out in the leadership of general Simovic and the King 2nd Piter had ascended the throne.,দুদিন পর জেনারেল simoviç এর নেতৃত্ত্বে রাষ্ট্রবিপ্লব ঘটে এবং সিংহাসনে বসে ১৭ বছর বয়সী রাজা ২য় পিটার।
Category: war,বিষয়শ্রেণী:যুদ্ধ
Though the general theory of relativity has proposed a term called gravitational unique point for explaining the the state before it.,অবশ্য সাধারণ আপেক্ষিকতা এর আগের সময়ের ব্যাখ্যার জন্য মহাকর্ষীয় অদ্বৈত বিন্দু নামক একটি শব্দের প্রস্তাব করেছে।
according to china there is no problem of global economy as in this modern and survival world is growing faster and faster,অবশ্য বিশ্বতাত্ত্বিক দৃষ্টিকোণ থেকে এর ব্যাখ্যা আরও পরে হয়েছে বর্তমানকালে আমরা জানি যে নীহারিকাগুলো পর্যবেক্ষণ করা হয়েছে সেগুলো আসলে নীহারিকা নয় বরং আমাদের আকাশগঙ্গার বাইরের ছায়াপথ ছিল।
But this theory is totally against the theory of boundless and unchangeable universe established ny Newton,কিন্তু এই তত্ত্ব স্বয়ং আইনস্টাইন কর্তৃক প্রতিষ্ঠিত অসীম এবং অপরিবর্তনীয় বিশ্বের তত্ত্বের সম্পূর্ণ বিরোধী।
"AFTER SEVEN DAYS ONLY AFTER THE LECTURE WAS DELIVERED, EACH AND EVERY WORD OF IT WAS PUBLISHED IN THE MAGAZINE""""THE LISTENER"""".",বক্তৃতা প্রচারিত হওয়ার এক সপ্তাহের মধ্যেই এর প্রতিটি দ্য লিসেনার পত্রিকায় প্রকাশিত হতো।
"From 1990 onwards, research related to Big Bang has eased out a lot.",১৯৯০-এর দশক থেকে মহা বিস্ফোরণ সংশ্লিষ্ট গবেষণা অনেক সহজ হয়ে দাড়িয়েছে।
This model can beautifully describe everything within the universe.,এই নকশা মহাবিশ্বের অভ্যন্তরস্থ সবকিছুর সুন্দর বর্ণনা দিতে সক্ষম।
